DATAFLOW,FREQ,INDICATOR,GEO_PICT,SEX,AGE,URBANIZATION,INCOME,EDUCATION,OCCUPATION,COMPOSITE_BREAKDOWN,DISABILITY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,REPORTING_TYPE,NATURE,DATA_SOURCE,OBS_STATUS,OBS_COMMENT
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,MH,_T,_T,U,_T,_T,_T,_Z,_T,2005,86.27,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,MH,_T,_T,U,_T,_T,_T,_Z,_T,2006,86.17,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,MH,_T,_T,U,_T,_T,_T,_Z,_T,2007,86.06,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,MH,_T,_T,U,_T,_T,_T,_Z,_T,2008,85.96,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,MH,_T,_T,U,_T,_T,_T,_Z,_T,2009,85.85,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,MH,_T,_T,U,_T,_T,_T,_Z,_T,2010,85.74,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,MH,_T,_T,U,_T,_T,_T,_Z,_T,2011,85.64,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,MH,_T,_T,U,_T,_T,_T,_Z,_T,2012,85.53,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,MH,_T,_T,U,_T,_T,_T,_Z,_T,2013,85.43,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,MH,_T,_T,U,_T,_T,_T,_Z,_T,2014,85.32,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,MH,_T,_T,U,_T,_T,_T,_Z,_T,2015,85.21,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,MH,_T,_T,U,_T,_T,_T,_Z,_T,2016,85.11,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,MH,_T,_T,U,_T,_T,_T,_Z,_T,2017,85,PERCENT,G,_X,,,
